name,size,description,change,department_code
flare,,,,
flare.Culture & Recreation.Academy of Sciences,7658802.0,A science museum — and scientific and educational institution — located in San Francisco's Golden Gate Park.,2.658232005023802,SCI
flare.Public Protection.Adult Probation,61597678.0,Aims to rehabilitate adult offenders to promote community safety and reduce recidivism.,5.989561699434621,ADP
"flare.Public Works, Transportation & Commerce.Airport Commission",2003762534.0,SFO is the Bay Area’s largest airport by passenger volume. The Commission sets its policies.,53.49449560882859,AIR
flare.Culture & Recreation.Arts Commission,29911303.0,"The Commission champions the arts, invests in local artists, enlivens the urban environment, and shapes innovative cultural policy.",-30.01885875674174,ART
flare.Culture & Recreation.Asian Art Museum,11814506.0,"The museum celebrates, preserves, and promotes Asian and Asian American art and cultures.",3.5259712526631777,AAM
flare.Administration & Finance.Assessor - Recorder,39711689.0,"Aims to identify and assess all taxable property in the city, collect transfer tax, and record and provide access to records.",6.815335490654917,ASR
"flare.Public Works, Transportation & Commerce.Board of Appeals",1198622.0,Provides a final administrative review process for appeals on a range of City determinations.,4.86292219761915,BOA
flare.Administration & Finance.Board of Supervisors,23611933.0,"The legislative branch of San Francisco’s government. It adopts legislation, establishes policies, and assists constituents.",0.022569954468251576,BOS
"flare.Public Works, Transportation & Commerce.Building Inspection",88340956.0,Oversees the enforcement of various building codes and Disability Access Regulations.,2.5984775033844705,DBI
"flare.Welfare & Neighborhood Development.Children, Youth & Families",349435136.0,Aims to improve the city for children by investing in youth and their families.,2.123047119778006,CHF
flare.Welfare & Neighborhood Development.Child Support Services,13291458.0,Aims to ensure the financial support and well-being of children through child support orders and non-cash alternatives.,-2.7444567128598116,CSS
flare.Administration & Finance.City Attorney,117716023.0,"Provides legal services to the Mayor’s Office, the Board of Supervisors, elected City officials, and all the city’s departments, boards, and commissions.",8.25500336731152,CAT
flare.Administration & Finance.City Planning,55060285.0,"Aims to guide and regulate land use, urban design, and development to make San Francisco the world’s most livable urban place.",-6.197075346936993,CPC
flare.Administration & Finance.Civil Service Commission,1524657.0,Aims to make sure the city employs the best-qualified candidates for public service in a timely and efficient manner.,0.8631861810825419,CSC
flare.Administration & Finance.Controller,88797154.0,"Aims to ensure the City’s financial integrity through audits and oversight, promoting effective and accountable government.",5.733588802444543,CON
flare.Public Protection.Police Accountability,10037592.0,"Aims to hold the police accountable to civilian oversight through investigations, policy recommendations, and performance audits.",0.6743893621419422,DPA
flare.Welfare & Neighborhood Development.Early Childhood,336660759.0,"Helps parents and guardians with child care, parenting support, and child development.",-2.5538010435837433,DEC
flare.Public Protection.District Attorney,93586565.0,"Aims to prosecute suspects, support victims of crime, and develop alternatives to incarceration.",4.495893430866116,DAT
