group_id,geometry,quarter,amount,analysis_neighborhood,area,GEOID20,tract_geoid
305,"MULTIPOLYGON (((-122.41761 37.770416, -122.417579 37.770433, -122.417546 37.77045, -122.417374 37.77089, -122.416971 37.771634, -122.4169 37.771724, -122.416184 37.771413, -122.414997 37.770896, -122.415308 37.770359, -122.415563 37.769631, -122.416339 37.769688, -122.417721 37.769852, -122.417764 37.769857, -122.417781 37.769918, -122.417777 37.769975, -122.41772 37.770357, -122.41761 37.770416)), ((-122.422589 37.770775, -122.422439 37.770664, -122.422365 37.769868, -122.423146 37.769821, -122.423303 37.77146, -122.42324 37.771552, -122.423039 37.77124, -122.422809 37.770992, -122.422589 37.770775)), ((-122.422551 37.772208, -122.422487 37.771694, -122.422525 37.771588, -122.422457 37.770861, -122.422584 37.770965, -122.422718 37.771096, -122.422835 37.771235, -122.422965 37.771391, -122.423072 37.771563, -122.423121 37.771657, -122.423179 37.771785, -122.42325 37.771937, -122.423402 37.771975, -122.423267 37.772058, -122.42262 37.772503, -122.422632 37.772368, -122.422551 37.772208)), ((-122.421441 37.772639, -122.421859 37.77297, -122.421917 37.773017, -122.421941 37.773036, -122.421989 37.773074, -122.421916 37.773123, -122.42132 37.773592, -122.421232 37.773523, -122.420775 37.773165, -122.4204 37.772872, -122.421068 37.772344, -122.421441 37.772639)), ((-122.419334 37.77521, -122.419299 37.775034, -122.419271 37.774904, -122.418699 37.773081, -122.41882 37.773201, -122.41894 37.773315, -122.419664 37.773893, -122.420141 37.77429, -122.42015 37.774298, -122.42018 37.774315, -122.420254 37.774359, -122.420177 37.774457, -122.419681 37.774871, -122.419334 37.77521)), ((-122.417381 37.776445, -122.416916 37.776076, -122.416525 37.775764, -122.416443 37.775699, -122.415908 37.775272, -122.417104 37.774325, -122.417515 37.774651, -122.418659 37.775558, -122.418704 37.775645, -122.417615 37.7766, -122.417515 37.776534, -122.417381 37.776445)))",2025Q2,"371,415.73",Mission,60750176034000 | 60750177002009 | 60750201011000 | 60750201011002 | 60750202021000 | 60750202021004 | 60750201011003,60750176034000,06075017603
308,"MULTIPOLYGON (((-122.407264 37.76928, -122.406882 37.769299, -122.406725 37.769307, -122.406398 37.769371, -122.406213 37.769463, -122.405939 37.769659, -122.405913 37.769406, -122.405879 37.769013, -122.405828 37.768473, -122.4058 37.768171, -122.406176 37.768452, -122.406383 37.76844, -122.406539 37.768431, -122.406799 37.768415, -122.407813 37.768354, -122.407841 37.768774, -122.407848 37.768881, -122.407853 37.768951, -122.407874 37.768991, -122.408007 37.769244, -122.407461 37.769271, -122.407264 37.76928)), ((-122.403205 37.773051, -122.401657 37.771817, -122.403878 37.770063, -122.405425 37.771296, -122.403966 37.772449, -122.403738 37.772628, -122.403205 37.773051)), ((-122.407768 37.774351, -122.407405 37.774638, -122.406829 37.775093, -122.406369 37.775457, -122.406296 37.775514, -122.406105 37.775362, -122.406041 37.775318, -122.406048 37.775307, -122.406291 37.775017, -122.406436 37.774779, -122.406552 37.774589, -122.406657 37.774271, -122.406717 37.774092, -122.406755 37.773978, -122.406817 37.773434, -122.406787 37.772669, -122.406806 37.772654, -122.406968 37.772526, -122.407771 37.773166, -122.408429 37.77369, -122.408516 37.77376, -122.407986 37.774179, -122.407768 37.774351)), ((-122.402103 37.773923, -122.402265 37.773794, -122.402671 37.773473, -122.404214 37.774704, -122.403636 37.775161, -122.403076 37.774709, -122.402103 37.773923)))",2025Q2,"40,642.25",Mission,60750177001001 | 60750180003001 | 60750180004007 | 60750180004011,60750177001001,06075017700
309,"POLYGON ((-122.407685 37.767082, -122.407534 37.765783, -122.408544 37.765723, -122.410487 37.765606, -122.41061 37.766903, -122.41158 37.766841, -122.411703 37.768114, -122.411759 37.768693, -122.411515 37.768833, -122.410814 37.769053, -122.410831 37.769232, -122.410881 37.769322, -122.410931 37.769411, -122.410835 37.769417, -122.410755 37.769422, -122.40954 37.769235, -122.409258 37.769221, -122.408551 37.769252, -122.408007 37.769244, -122.407874 37.768991, -122.407853 37.768951, -122.407848 37.768881, -122.407841 37.768774, -122.407813 37.768354, -122.407685 37.767082))",2025Q2,"132,062.48",Mission,60750177001006 | 60750177001015 | 60750177001014 | 60750177001005,60750177001006,06075017700
310,"MULTIPOLYGON (((-122.410487 37.765606, -122.411455 37.765548, -122.41158 37.766841, -122.41061 37.766903, -122.410487 37.765606)), ((-122.408436 37.769318, -122.408007 37.769244, -122.408551 37.769252, -122.409258 37.769221, -122.40954 37.769235, -122.410755 37.769422, -122.410835 37.769417, -122.410931 37.769411, -122.410908 37.769429, -122.410886 37.769447, -122.409736 37.770349, -122.409035 37.769793, -122.408436 37.769318)), ((-122.409736 37.770349, -122.411278 37.771579, -122.410678 37.772052, -122.409134 37.77082, -122.409736 37.770349)))",2025Q2,"14,989.88",Mission,60750177001009 | 60750177001028 | 60750177001010 | 60750180004017,60750177001009,06075017700
311,"MULTIPOLYGON (((-122.41158 37.766841, -122.411455 37.765548, -122.412416 37.76549, -122.412538 37.76677, -122.412611 37.767538, -122.41283 37.766751, -122.413227 37.766725, -122.41326 37.76707, -122.413341 37.768023, -122.413396 37.768671, -122.413427 37.769036, -122.413389 37.769459, -122.413385 37.769502, -122.413347 37.769578, -122.413209 37.769854, -122.413046 37.770052, -122.412751 37.770389, -122.412619 37.770521, -122.41248 37.77063, -122.410989 37.769456, -122.410959 37.769433, -122.410931 37.769411, -122.410881 37.769322, -122.410831 37.769232, -122.410814 37.769053, -122.411515 37.768833, -122.411759 37.768693, -122.411935 37.768591, -122.412217 37.76837, -122.412424 37.768074, -122.411703 37.768114, -122.41158 37.766841)), ((-122.414344 37.77061, -122.414605 37.770128, -122.414801 37.769612, -122.414819 37.769565, -122.414899 37.769564, -122.415487 37.769589, -122.415579 37.769578, -122.415563 37.769631, -122.415308 37.770359, -122.414997 37.770896, -122.414344 37.77061)), ((-122.414027 37.771864, -122.414526 37.771405, -122.414997 37.770896, -122.416184 37.771413, -122.4169 37.771724, -122.416368 37.7724, -122.416304 37.772456, -122.415561 37.773101, -122.415002 37.772649, -122.414392 37.772158, -122.414027 37.771864)), ((-122.410692 37.773025, -122.411897 37.772073, -122.412824 37.772812, -122.412225 37.773285, -122.41161 37.773769, -122.411071 37.773333, -122.410692 37.773025)))",2025Q2,"229,689.5",Mission,60750177001011 | 60750177002013 | 60750178032003 | 60750177001007 | 60750177001013 | 60750177002006 | 60750177002010,60750177001011,06075017700
312,"MULTIPOLYGON (((-122.41283 37.766751, -122.412611 37.767538, -122.412538 37.76677, -122.41283 37.766751)), ((-122.412619 37.770521, -122.412751 37.770389, -122.414526 37.771405, -122.414027 37.771864, -122.41342 37.772343, -122.412824 37.772812, -122.411897 37.772073, -122.411278 37.771579, -122.411841 37.771135, -122.41248 37.77063, -122.412619 37.770521)), ((-122.412225 37.773285, -122.412824 37.772812, -122.413763 37.77356, -122.414368 37.774043, -122.413944 37.774378, -122.413769 37.774516, -122.412225 37.773285)))",2025Q2,"40,158.01",Mission,60750177001012 | 60750177002011 | 60750178031004 | 60750178032004,60750177001012,06075017700
313,"MULTIPOLYGON (((-122.406022 37.761863, -122.405926 37.762012, -122.405654 37.762433, -122.405384 37.76297, -122.405324 37.763137, -122.405258 37.763323, -122.405203 37.763478, -122.405105 37.763852, -122.40506 37.764311, -122.40509 37.764628, -122.40484 37.764643, -122.404497 37.764664, -122.404372 37.763382, -122.404259 37.762113, -122.40522 37.762055, -122.405097 37.760792, -122.405835 37.760749, -122.405921 37.760744, -122.406061 37.760753, -122.40626 37.760743, -122.40648 37.760731, -122.406283 37.761393, -122.406147 37.761638, -122.406022 37.761863)), ((-122.408187 37.761876, -122.408303 37.763122, -122.407305 37.763188, -122.407187 37.761936, -122.408187 37.761876)), ((-122.403412 37.763445, -122.403527 37.764723, -122.402563 37.764781, -122.402443 37.763503, -122.403412 37.763445)), ((-122.405321 37.767223, -122.405154 37.767233, -122.404963 37.767244, -122.40475 37.767257, -122.404623 37.765958, -122.404836 37.765945, -122.404952 37.765938, -122.4052 37.765923, -122.405585 37.7659, -122.406553 37.765842, -122.406677 37.767142, -122.405708 37.7672, -122.405422 37.767217, -122.405321 37.767223)))",2025Q2,"21,783.11",Mission,60750177001018 | 60750227041003 | 60750227041017 | 60750228021004 | 60750227041005 | 60750227041006 | 60750177001017,60750177001018,06075017700
314,"MULTIPOLYGON (((-122.419945 37.769985, -122.419948 37.769926, -122.419956 37.769746, -122.420001 37.769216, -122.420032 37.769045, -122.420107 37.769107, -122.420155 37.769576, -122.420155 37.769932, -122.420155 37.770002, -122.419945 37.769985)), ((-122.422439 37.770664, -122.422444 37.770715, -122.422457 37.770861, -122.422284 37.770724, -122.422068 37.770579, -122.421865 37.770476, -122.421627 37.770378, -122.42162 37.770303, -122.421612 37.770224, -122.421583 37.769918, -122.422365 37.769868, -122.422439 37.770664)), ((-122.417546 37.77045, -122.417579 37.770433, -122.41761 37.770416, -122.41772 37.770357, -122.417794 37.770435, -122.417915 37.770626, -122.417995 37.770765, -122.418029 37.770876, -122.418399 37.772102, -122.418439 37.772223, -122.418469 37.772323, -122.418608 37.772731, -122.418638 37.772905, -122.418512 37.773039, -122.418563 37.773142, -122.418576 37.773183, -122.418472 37.773275, -122.417233 37.774269, -122.417104 37.774325, -122.417187 37.774226, -122.417649 37.773842, -122.41803 37.773474, -122.417451 37.773135, -122.416576 37.773906, -122.416104 37.773532, -122.416913 37.772817, -122.416304 37.772456, -122.416368 37.7724, -122.4169 37.771724, -122.416971 37.771634, -122.417374 37.77089, -122.417546 37.77045)))",2025Q2,"30,620.99",Mission,60750177002004 | 60750177002007 | 60750201011013 | 60750201012001 | 60750201012003 | 60750177002002 | 60750177002008,60750177002004,06075017700
315,"MULTIPOLYGON (((-122.414899 37.769564, -122.414819 37.769565, -122.414748 37.769559, -122.414122 37.769537, -122.4141 37.769596, -122.413966 37.769951, -122.41375 37.770347, -122.414344 37.77061, -122.414997 37.770896, -122.414526 37.771405, -122.412751 37.770389, -122.413046 37.770052, -122.413209 37.769854, -122.413347 37.769578, -122.413385 37.769502, -122.413389 37.769459, -122.413427 37.769036, -122.413396 37.768671, -122.41454 37.768602, -122.414541 37.768875, -122.414498 37.769486, -122.414494 37.769536, -122.415332 37.769564, -122.415498 37.769572, -122.415579 37.769578, -122.415487 37.769589, -122.414899 37.769564)), ((-122.410077 37.772526, -122.410678 37.772052, -122.411278 37.771579, -122.411897 37.772073, -122.410692 37.773025, -122.410077 37.772526)))",2025Q2,"56,706.57",Mission,60750177002015 | 60750178032002 | 60750177002016 | 60750177002012,60750177002015,06075017700
316,"POLYGON ((-122.415462 37.766937, -122.416549 37.766871, -122.416707 37.768471, -122.417802 37.768405, -122.417838 37.768486, -122.417857 37.769194, -122.417783 37.769199, -122.416432 37.769272, -122.415612 37.769362, -122.415588 37.769519, -122.415579 37.769578, -122.415498 37.769572, -122.415332 37.769564, -122.414494 37.769536, -122.414498 37.769486, -122.414541 37.768875, -122.41454 37.768602, -122.415614 37.768537, -122.415462 37.766937))",2025Q2,"111,181.3",Mission,60750177002021 | 60750177002020 | 60750177002017,60750177002021,06075017700
